question,conditions
"请筛选券商股中毛老板卖出,总市值100亿以下,一个月内涨幅小于百分之十的股票","[{""date"": ""2025-12-05"", ""factor"": ""券商"", ""id"": ""266"", ""classid"": 1, ""subclassid"": ""1"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""毛老板卖出"", ""id"": ""7264"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""总市值"", ""id"": ""c42<100.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-05"", ""factor"": ""20日涨幅"", ""id"": ""c24[7]<10%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-05"", ""factor"": ""券商"", ""id"": ""266"", ""classid"": 1, ""subclassid"": ""1"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""毛老板卖出"", ""id"": ""7264"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""总市值"", ""id"": ""c42<100.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-05"", ""factor"": ""20日涨幅"", ""id"": ""c24[7]<10%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}]"
人形机器人概念股龙头股有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": 2, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
开源五虎卖出的股票，科创板上市公司,"[{""date"": ""2025-12-05"", ""factor"": ""开源五虎卖出"", ""id"": ""7336"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""科创板等权"", ""id"": ""939"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
涉及8日CCI连续走低的上市公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""8日cci连续走低"", ""id"": ""1834"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
20日线长期波幅新高的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""20日线长期波幅新高"", ""id"": ""1762"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
储能概念龙头,"[{""date"": ""2025-12-04"", ""factor"": ""储能"", ""id"": ""219"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""月度强势"", ""id"": ""3"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日涨幅异动，MACD金叉，资金流入的股票,"[{""date"": ""2025-12-04"", ""factor"": ""10日涨幅异动"", ""id"": ""1585"", ""classid"": 2, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""macd金叉"", ""id"": ""84"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""当日资金流入"", ""id"": ""1251"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
储存芯片叠加人形机器人加光模块的公司,"[{""date"": ""2025-12-04"", ""factor"": ""存储概念"", ""id"": ""3642"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""光通信"", ""id"": ""558"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
K线实体涨幅大于5%，主板，非创业板，非科创板，非ST，股价小于20元,"[{""date"": ""2025-12-05"", ""factor"": ""K线实体涨幅"", ""id"": ""c30>5%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}, {""date"": ""2025-12-05"", ""factor"": ""沪深主板等权"", ""id"": ""942"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非创业板"", ""id"": ""7350"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非科创板"", ""id"": ""7349"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<20"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
OBV中期新低的个股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""obv中期新低"", ""id"": ""1658"", ""classid"": 3, ""subclassid"": ""11"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5日线中期波幅新低，收盘价在5日均线以上，换手率大于5%，量比大于1.14。,"[{""date"": ""2025-12-04"", ""factor"": ""5日线中期波幅新低"", ""id"": ""1778"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价不复权"", ""id"": ""c4>c21[4]"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日换手率"", ""id"": ""c37[1]>5%"", ""classid"": ""1"", ""subclassid"": ""6"", ""back_test_type"": ""2"", ""sort"": ""降序"", ""sort_type"": ""2""}, {""date"": ""2025-12-04"", ""factor"": ""量比"", ""id"": ""c39>1.14"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
营业总利润全市场靠前的股票,"[{""date"": ""2025-12-04"", ""factor"": ""营业总利润全市场靠前"", ""id"": ""902"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
当日资金流入的10元以下高业绩A股有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""当日资金流入"", ""id"": ""1251"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=10"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""扣非净利润全市场靠前"", ""id"": ""908"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""全A等权"", ""id"": ""845"", ""classid"": ""1"", ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
主营占比过低且为ST板块的股票,"[{""date"": ""2025-12-04"", ""factor"": ""主营占比过低"", ""id"": ""6822"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""st板块"", ""id"": ""651"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
3日超大流出新高的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""3日超大流出新高"", ""id"": ""1677"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
突破布林线上轨的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""突破上轨"", ""id"": ""110"", ""classid"": 3, ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
小鳄鱼卖出的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""小鳄鱼卖出"", ""id"": ""4122"", ""classid"": 8, ""subclassid"": ""4"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
实际控制人国资委持股30%且为ST板块的股票,"[{""date"": ""2025-12-04"", ""factor"": ""实际控制人国资委持股30%"", ""id"": ""6826"", ""classid"": 5, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""st板块"", ""id"": ""651"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
存储芯片概念中，10日内KD多次死叉的公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""存储概念"", ""id"": ""3642"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""10日kd反复死叉"", ""id"": ""1535"", ""classid"": 3, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日均偏新高的，人型机器人公司股价在7元上下的有哪几家？,"[{""date"": ""2025-12-04"", ""factor"": ""10日均偏新高"", ""id"": ""3662"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""人形机器人"", ""id"": ""7030"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4>=6.3"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=7.7"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
筛选近期炸板且市盈率不高于20倍的股票,"[{""date"": ""2025-12-04"", ""factor"": ""近期炸板"", ""id"": ""1149"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""动态市盈率"", ""id"": ""c49<=20"", ""classid"": ""1"", ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}]"
AI智能体且多模态，60日线中期波幅新高的个股,"[{""date"": ""2025-12-04"", ""factor"": ""AIAgent（AI助理）"", ""id"": ""5184"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""ai多模态"", ""id"": ""5185"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""60日线中期波幅新高"", ""id"": ""1755"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日异动探测的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""10日异动探测"", ""id"": ""3676"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"龙虎榜上榜；RSI跌到20以下后,出现反转信号；市净率小于1.5；非创业板；非科创板；非ST","[{""date"": ""2025-12-05"", ""factor"": ""RSI.RSI1"", ""id"": ""c60[1]<20"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}, {""date"": ""2025-12-06"", ""factor"": ""RSI.RSI1"", ""id"": ""c60[1]>20"", ""classid"": ""2"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}, {""date"": ""2025-12-05"", ""factor"": ""市净率"", ""id"": ""c53<1.5"", ""classid"": ""1"", ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非创业板"", ""id"": ""7350"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非科创板"", ""id"": ""7349"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-05"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
现金增长市场靠前的股票,"[{""date"": ""2025-12-04"", ""factor"": ""现金增长市场靠前"", ""id"": ""932"", ""classid"": 4, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
消费电子板块60日资金雷达的公司有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""消费电子"", ""id"": ""648"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""60日资金雷达"", ""id"": ""1929"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
营业总收入环比翻倍的半导体和机器人相关股票,"[{""date"": ""2025-12-04"", ""factor"": ""营业总收入环比翻倍"", ""id"": ""897"", ""classid"": 4, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""半导体|机器人概念"", ""id"": ""547|2741"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
0——10元；市值10——20亿；250日BOLL变动新低,"[{""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4>=0"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价_不复权"", ""id"": ""c4<=10"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42>=10.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""总市值"", ""id"": ""c42<=20.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""250日boll变动新低"", ""id"": ""1849"", ""classid"": 3, ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
目前K线呈5日M-ATR强劲形态的股票有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""5日m-atr强劲"", ""id"": ""3784"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"高股息,高分红的股票有哪个","[{""date"": ""2025-12-04"", ""factor"": ""高股息股"", ""id"": ""7215"", ""classid"": 4, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""高派息"", ""id"": ""175"", ""classid"": 1, ""subclassid"": ""3"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
60日量价协同，且AI多模态、AIAgent（AI助理）股价处于10日均线上方的个股,"[{""date"": ""2025-12-04"", ""factor"": ""60日量价协同"", ""id"": ""3994"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""ai多模态"", ""id"": ""5185"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""aiagent（ai助理）"", ""id"": ""5184"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""收盘价不复权"", ""id"": ""c4>c21[5]"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日内有连板且和消费电子直接关联的有哪些股票,"[{""date"": ""2025-12-04"", ""factor"": ""10日有连板"", ""id"": ""1369"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""消费电子"", ""id"": ""648"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
今天中期MATR疲软，净资金流入且未涨停的股票,"[{""date"": ""2025-12-04"", ""factor"": ""中期matr疲软"", ""id"": ""3961"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""当日资金流入"", ""id"": ""1251"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非当日涨停"", ""id"": ""!3925"", ""classid"": ""2"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5日强势的两阳夹一阴股票,"[{""date"": ""2025-12-04"", ""factor"": ""5日强势"", ""id"": ""2"", ""classid"": 2, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""多方炮"", ""id"": ""60"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
"看技术指标,哪些股处于KDJ空头趋势？","[{""date"": ""2025-12-04"", ""factor"": ""kdj空头"", ""id"": ""99"", ""classid"": 3, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日线长期波幅新低；非ST；非创业板；非科创板,"[{""date"": ""2025-12-04"", ""factor"": ""10日线长期波幅新低"", ""id"": ""1788"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非创业板"", ""id"": ""7350"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非科创板"", ""id"": ""7349"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
找出5日跌幅异动的股票,"[{""date"": ""2025-12-04"", ""factor"": ""5日跌幅异动"", ""id"": ""1591"", ""classid"": 2, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
反攻在即的科技股,"[{""date"": ""2025-12-04"", ""factor"": ""反攻在即"", ""id"": ""3969"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""半导体|集成电路|芯片概念|存储概念|光刻胶|光刻机"", ""id"": ""547|467|627|3642|666|731"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
RSI空头的券商股,"[{""date"": ""2025-12-04"", ""factor"": ""rsi空头"", ""id"": ""1298"", ""classid"": 3, ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""券商"", ""id"": ""266"", ""classid"": 1, ""subclassid"": ""1"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
多头加速的股票,"[{""date"": ""2025-12-04"", ""factor"": ""多头加速"", ""id"": ""3739"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
股东人数大幅下降的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""股东人数大幅下降"", ""id"": ""1186"", ""classid"": 5, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
今日跳空触底反弹的个股有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""跳空触底反弹"", ""id"": ""1204"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
10日资金连续流出的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""10日资金连续流出"", ""id"": ""1258"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
和20日低量直接关联的有哪些股票,"[{""date"": ""2025-12-04"", ""factor"": ""20日低量"", ""id"": ""1376"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
主力资金预警的股票,"[{""date"": ""2025-12-05"", ""factor"": ""主力资金预警"", ""id"": ""7341"", ""classid"": 10, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
假阳线的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""假阳线"", ""id"": ""70"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
找出符合5日CCI连续走高条件的股票,"[{""date"": ""2025-12-04"", ""factor"": ""5日cci连续走高"", ""id"": ""1830"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
20日超大单流出的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""20日超大单流出"", ""id"": ""1407"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
旅游股票且120日均偏新高,"[{""date"": ""2025-12-04"", ""factor"": ""旅游及景区"", ""id"": ""3468"", ""classid"": 1, ""subclassid"": ""11"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""120日均偏新高"", ""id"": ""3666"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
5交易日内业绩预告亏损大幅减少的股票,"[{""date"": ""2025-12-04"", ""factor"": ""业绩预告亏损大幅减少"", ""id"": ""1176"", ""classid"": 5, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
低位10日线长期波幅新低的个股,"[{""date"": ""2025-12-04"", ""factor"": ""10日线长期波幅新低"", ""id"": ""1788"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
跨境支付概念的龙头股票是哪些,"[{""date"": ""2025-12-04"", ""factor"": ""跨境支付"", ""id"": ""791"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""茅概念"", ""id"": ""748"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
找出符合CCI变动60日新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""cci变动60日新高"", ""id"": ""1817"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
预测营业收入增长率行业靠前且涨幅超过10%的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""预测营业收入增长率行业靠前"", ""id"": ""864"", ""classid"": 6, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""1日涨幅"", ""id"": ""c24[1]>10%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
选出9月3日阶段试盘股；非st板；非科创板,"[{""date"": ""2025-09-03"", ""factor"": ""阶段试盘"", ""id"": ""1731"", ""classid"": ""3"", ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非ST板块"", ""id"": ""!651"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""非科创板"", ""id"": ""7349"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
低市盈率TTM，净利润增长，且KDJ活跃，流通市值小于100亿元,"[{""date"": ""2025-12-04"", ""factor"": ""低市盈率ttm"", ""id"": ""945"", ""classid"": 4, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""净利润增长"", ""id"": ""c103[1]>0"", ""classid"": ""3"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""kdj活跃"", ""id"": ""1603"", ""classid"": 3, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""流通市值"", ""id"": ""c43<100.0亿元"", ""classid"": ""1"", ""subclassid"": ""8"", ""back_test_type"": ""1"", ""sort"": ""升序"", ""sort_type"": ""1""}]"
今天20日换手变动创历史新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""20日换手变动新高"", ""id"": ""3856"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
符合趋势跟踪特征的锂电池板块龙头有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""趋势跟踪"", ""id"": ""3975"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""锂电池"", ""id"": ""340"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""茅概念"", ""id"": ""748"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
北交所下一个30日BIAS高涨的股票是哪个,"[{""date"": ""2025-12-04"", ""factor"": ""北交所等权"", ""id"": ""865"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""30日bias高涨"", ""id"": ""3754"", ""classid"": 3, ""subclassid"": ""10"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
推荐所属人工智能，条件是3日资金雷达的股票,"[{""date"": ""2025-12-04"", ""factor"": ""人工智能"", ""id"": ""415"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""3日资金雷达"", ""id"": ""1924"", ""classid"": 8, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
